"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_2x20";1;"RPi_GPIO";;;
2;",,,";"RPi_Hat_Mounting_Hole";4;"";;;
3;"IC1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATMEGA1284P-A";;;
4;"SW1";"Pin_Header_Straight_1x03";1;"SWITCH_INV";;;
5;"C9,C10,C11,C12,C13,C14,C15,C16,C19,C20,C4";"C_0603_HandSoldering";11;"100n";;;
6;"C17,C18";"C_0603_HandSoldering";2;"22p";;;
7;"P2,P3";"Pin_Header_Straight_2x08";2;"CONN_02X08";;;
8;"R7,R8,R9,R10,R11,R12,R13,R14,R18,R25,R26,R27";"R_0603_HandSoldering";12;"10k";;;
9;"R15,R16,R20";"R_0603_HandSoldering";3;"4.7k";;;
10;"C21";"C_0603_HandSoldering";1;"220p";;;
11;"Q1,Q2,Q3,Q5,Q6";"SOT-23_Handsoldering";5;"S9013";;;
12;"R17,R23";"R_0603_HandSoldering";2;"1k";;;
13;"R19";"R_0603_HandSoldering";1;"1.5k";;;
14;"R21";"R_0603_HandSoldering";1;"1.1k";;;
15;"D3";"Diode-DO-214BA";1;"1N4007";;;
16;"P4";"Pin_Header_Straight_1x02";1;"MIDI IN";;;
17;"P5";"Pin_Header_Straight_1x03";1;"MIDI OUT";;;
18;"R22,R24,R1,R2,R3,R4,R5,R6,R28,R29,R30,R31,R32,R33,R34";"R_0603_HandSoldering";15;"220";;;
19;"P6";"Pin_Header_Straight_1x03";1;"ws2812";;;
20;"C1,C2";"C_0603_HandSoldering";2;"1u";;;
21;"U2";"dil_4-300";1;"LTV-817";;;
22;"C3";"TantalC_SizeA_EIA-3216_HandSoldering";1;"10u";;;
23;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
